llm,condition_label,gold_decision,measured_n,class_recall
Gemma 4 26B,BM25,maybe,110,0.6909090909090909
Gemma 4 26B,BM25,no,337,0.314540059347181
Gemma 4 26B,BM25,yes,551,0.4010889292196007
Gemma 4 26B,ColBERTv2,maybe,110,0.6181818181818182
Gemma 4 26B,ColBERTv2,no,338,0.42011834319526625
Gemma 4 26B,ColBERTv2,yes,552,0.5181159420289855
Gemma 4 26B,Contriever,maybe,110,0.6454545454545455
Gemma 4 26B,Contriever,no,338,0.3609467455621302
Gemma 4 26B,Contriever,yes,552,0.4855072463768116
Gemma 4 26B,DPR,maybe,110,0.7818181818181819
Gemma 4 26B,DPR,no,327,0.21406727828746178
Gemma 4 26B,DPR,yes,534,0.2883895131086142
Gemma 4 26B,WITHOUT_CONTEXT,maybe,110,0.3090909090909091
Gemma 4 26B,WITHOUT_CONTEXT,no,337,0.26112759643916916
Gemma 4 26B,WITHOUT_CONTEXT,yes,551,0.6116152450090744
Llama 3.3 70B,BM25,maybe,110,0.11818181818181818
Llama 3.3 70B,BM25,no,338,0.5384615384615384
Llama 3.3 70B,BM25,yes,552,0.8351449275362319
Llama 3.3 70B,ColBERTv2,maybe,110,0.1
Llama 3.3 70B,ColBERTv2,no,338,0.636094674556213
Llama 3.3 70B,ColBERTv2,yes,552,0.8731884057971014
Llama 3.3 70B,Contriever,maybe,110,0.10909090909090909
Llama 3.3 70B,Contriever,no,338,0.6153846153846154
Llama 3.3 70B,Contriever,yes,552,0.8532608695652174
Llama 3.3 70B,DPR,maybe,110,0.2
Llama 3.3 70B,DPR,no,338,0.5
Llama 3.3 70B,DPR,yes,552,0.7028985507246377
Llama 3.3 70B,WITHOUT_CONTEXT,maybe,110,0.13636363636363635
Llama 3.3 70B,WITHOUT_CONTEXT,no,338,0.3106508875739645
Llama 3.3 70B,WITHOUT_CONTEXT,yes,552,0.8170289855072463
Qwen3.6 36B,BM25,maybe,110,0.14545454545454545
Qwen3.6 36B,BM25,no,338,0.5029585798816568
Qwen3.6 36B,BM25,yes,552,0.7427536231884058
Qwen3.6 36B,ColBERTv2,maybe,110,0.14545454545454545
Qwen3.6 36B,ColBERTv2,no,338,0.6124260355029586
Qwen3.6 36B,ColBERTv2,yes,552,0.8152173913043478
Qwen3.6 36B,Contriever,maybe,110,0.13636363636363635
Qwen3.6 36B,Contriever,no,338,0.5798816568047337
Qwen3.6 36B,Contriever,yes,552,0.8007246376811594
Qwen3.6 36B,DPR,maybe,110,0.10909090909090909
Qwen3.6 36B,DPR,no,338,0.5710059171597633
Qwen3.6 36B,DPR,yes,551,0.52994555353902
Qwen3.6 36B,WITHOUT_CONTEXT,maybe,110,0.05454545454545454
Qwen3.6 36B,WITHOUT_CONTEXT,no,338,0.34615384615384615
Qwen3.6 36B,WITHOUT_CONTEXT,yes,552,0.7898550724637681
