llm,retriever,measured_n,mean_recall_at_5,mean_mrr_at_5,mean_candidate_recall_at_20,answer_accuracy
Gemma 4 26B,bm25,998,0.6004115373604352,0.9133433533734134,0.7038068199891847,0.40380761523046094
Gemma 4 26B,colbertv2,1000,0.7382095238095239,0.9762333333333334,0.8253325396825396,0.496
Gemma 4 26B,contriever,1000,0.7403714285714285,0.9721166666666666,0.8366805555555555,0.461
Gemma 4 26B,dpr,971,0.33497294558056656,0.5959663577068314,0.47384916548150324,0.3192584963954686
Llama 3.3 70B,bm25,1000,0.5992107142857143,0.9115166666666666,0.7023992063492064,0.656
Llama 3.3 70B,colbertv2,1000,0.7382095238095239,0.9762333333333334,0.8253325396825396,0.708
Llama 3.3 70B,contriever,1000,0.7403714285714285,0.9721166666666666,0.8366805555555555,0.691
Llama 3.3 70B,dpr,1000,0.32525873015873014,0.5786833333333333,0.46527420634920635,0.579
Qwen3.6 36B,bm25,1000,0.5992107142857143,0.9115166666666666,0.7023992063492064,0.596
Qwen3.6 36B,colbertv2,1000,0.7382095238095239,0.9762333333333334,0.8253325396825396,0.673
Qwen3.6 36B,contriever,1000,0.7403714285714285,0.9721166666666666,0.8366805555555555,0.653
Qwen3.6 36B,dpr,999,0.32508381397270286,0.5782615949282616,0.4652394457950013,0.4974974974974975
